r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
am | name,"PEACE, doubting Heart — my GOD's I am! ",o3900-l17760," The LORD hath call'd me by my Name,",o3900-l17770,/æm/ | /eɪm/,half-pararhyme,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
word | lord, To all that tremble at thy Word! ,o3900-l15745," How holy is thy Name, O LORD! ",o3900-l15735,/ɜːd/ | /ɔːd/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00309,o3900-w0880
crowned | found,Thy conqu'ring Arm with Terror crown'd,o3900-l15750, And all the Sons of Pride have found. ,o3900-l15760,/aʊnd/ | /aʊnd/,full,<b>a</b>b<b>a</b>b,pers00309,o3900-w0880
sustain | vain, Appear'd the Humble to sustain:,o3900-l15755,Their boasted Wisdom void and vain. ,o3900-l15765,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>,pers00309,o3900-w0880
found | crowned, And all the Sons of Pride have found. ,o3900-l15760,Thy conqu'ring Arm with Terror crown'd,o3900-l15750,/aʊnd/ | /aʊnd/,full,<b>a</b>b<b>a</b>b,pers00309,o3900-w0880
vain | sustain,Their boasted Wisdom void and vain. ,o3900-l15765, Appear'd the Humble to sustain:,o3900-l15755,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>,pers00309,o3900-w0880
sky | high,"The mighty from their native Sky,",o3900-l15770, And rais'd the Worms of Earth on high,o3900-l15780,/aɪ/ | /aɪ/,full,<b>a</b>b<b>a</b>b,pers00309,o3900-w0880
bound | crowned, Cast down Thou hast in Darkness bound:,o3900-l15775, With Majesty and Glory crown'd. ,o3900-l15785,/aʊnd/ | /aʊnd/,full,a<b>b</b>a<b>b</b>,pers00309,o3900-w0880
high | sky, And rais'd the Worms of Earth on high,o3900-l15780,"The mighty from their native Sky,",o3900-l15770,/aɪ/ | /aɪ/,full,<b>a</b>b<b>a</b>b,pers00309,o3900-w0880
crowned | bound, With Majesty and Glory crown'd. ,o3900-l15785, Cast down Thou hast in Darkness bound:,o3900-l15775,/aʊnd/ | /aʊnd/,full,a<b>b</b>a<b>b</b>,pers00309,o3900-w0880
store | power,"The Rich have pin'd amidst their Store,",o3900-l15790, Mean while the hungry Souls thy Pow'r,o3900-l15800,/ɔː/ | /aʊə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00309,o3900-w0880
trod | god, Nor e'er the Way of Peace have trod;,o3900-l15795, Fill'd with the Fulness of their GOD. ,o3900-l15805,/ɒd/ | /ɒd/,full,a<b>b</b>a<b>b</b>,pers00309,o3900-w0880
power | store, Mean while the hungry Souls thy Pow'r,o3900-l15800,"The Rich have pin'd amidst their Store,",o3900-l15790,/aʊə/ | /ɔː/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00309,o3900-w0880
god | trod, Fill'd with the Fulness of their GOD. ,o3900-l15805, Nor e'er the Way of Peace have trod;,o3900-l15795,/ɒd/ | /ɒd/,full,a<b>b</b>a<b>b</b>,pers00309,o3900-w0880
decreed | seed,"Come, Saviour, come, of old decreed! ",o3900-l15810, By all Earth's Tribes in Abraham's Seed,o3900-l15820,/iːd/ | /iːd/,full,<b>a</b>b<b>a</b>b,pers00309,o3900-w0880
confessed | blessed,Faithful and true be Thou confest:,o3900-l15815, Henceforth thro' endless Ages blest. ,o3900-l15825,/est/ | /est/,full,a<b>b</b>a<b>b</b>,pers00309,o3900-w0880
seed | decreed, By all Earth's Tribes in Abraham's Seed,o3900-l15820,"Come, Saviour, come, of old decreed! ",o3900-l15810,/iːd/ | /iːd/,full,<b>a</b>b<b>a</b>b,pers00309,o3900-w0880
blessed | confessed, Henceforth thro' endless Ages blest. ,o3900-l15825,Faithful and true be Thou confest:,o3900-l15815,/est/ | /est/,full,a<b>b</b>a<b>b</b>,pers00309,o3900-w0880
awake | shake,"ARM of the Lord awake, awake! ",o3900-l25940,"With Terror cloath'd the Nations shake,",o3900-l25950,/eɪk/ | /eɪk/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w1390
on | down,Thy own immortal Strength put on. ,o3900-l25945," And cast thy Foes, in Fury, down. ",o3900-l25955,/ɒn/ | /aʊn/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w1390
shake | awake,"With Terror cloath'd the Nations shake,",o3900-l25950,"ARM of the Lord awake, awake! ",o3900-l25940,/eɪk/ | /eɪk/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w1390
down | on," And cast thy Foes, in Fury, down. ",o3900-l25955,Thy own immortal Strength put on. ,o3900-l25945,/aʊn/ | /ɒn/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w1390
appear | near,As in the antient Days appear! ,o3900-l25960," Be now Omnipotently near,",o3900-l25970,/ɪə/ | /ɪə/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w1390
fame | same,The Sacred Annals speak thy Fame:,o3900-l25965, Thro' endless Ages still the same. ,o3900-l25975,/eɪm/ | /eɪm/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w1390
near | appear," Be now Omnipotently near,",o3900-l25970,As in the antient Days appear! ,o3900-l25960,/ɪə/ | /ɪə/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w1390
same | fame, Thro' endless Ages still the same. ,o3900-l25975,The Sacred Annals speak thy Fame:,o3900-l25965,/eɪm/ | /eɪm/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w1390
quell | feel,"Thy tenfold Vengeance knew to quell,",o3900-l25980,"Groan'd her pale Sons thy Stroke to feel,",o3900-l25990,/el/ | /iːl/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w1390
pride | died, And humble haughty Rahab's Pride. ,o3900-l25985, The First-born Victims groan'd and died! ,o3900-l25995,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w1390
feel | quell,"Groan'd her pale Sons thy Stroke to feel,",o3900-l25990,"Thy tenfold Vengeance knew to quell,",o3900-l25980,/iːl/ | /el/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w1390
died | pride, The First-born Victims groan'd and died! ,o3900-l25995, And humble haughty Rahab's Pride. ,o3900-l25985,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w1390
vain | main,The wounded Dragon rag'd in vain;,o3900-l26000, Madly he dar'd the parted Main,o3900-l26010,/eɪn/ | /eɪn/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w1390
brave | wave," While bold thine Utmost Plague to brave,",o3900-l26005, And sunk beneath th' o' rewhelming Wave. ,o3900-l26015,/eɪv/ | /eɪv/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w1390
main | vain, Madly he dar'd the parted Main,o3900-l26010,The wounded Dragon rag'd in vain;,o3900-l26000,/eɪn/ | /eɪn/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w1390
wave | brave, And sunk beneath th' o' rewhelming Wave. ,o3900-l26015," While bold thine Utmost Plague to brave,",o3900-l26005,/eɪv/ | /eɪv/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w1390
race | pass,He sunk; while Israel's chosen Race,o3900-l26020,"Divinely led the Favourites pass,",o3900-l26030,/eɪs/ | /ɑːs/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w1390
way | sea, Triumphant urge their wondrous Way. ,o3900-l26025," Th' Unwatry Deep, and emptied Sea. ",o3900-l26035,/eɪ/ | /iː/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w1390
pass | race,"Divinely led the Favourites pass,",o3900-l26030,He sunk; while Israel's chosen Race,o3900-l26020,/ɑːs/ | /eɪs/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w1390
sea | way," Th' Unwatry Deep, and emptied Sea. ",o3900-l26035, Triumphant urge their wondrous Way. ,o3900-l26025,/iː/ | /eɪ/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w1390
hand | stand,"At Distance heap'd on either Hand,",o3900-l26040," In chrystal Walls the Waters stand,",o3900-l26050,/ænd/ | /ænd/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w1390
road | god," Yielding a strange unbeaten Road,",o3900-l26045, And own the Arm of Israel's GOD! ,o3900-l26055,/əʊd/ | /ɒd/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w1390
stand | hand," In chrystal Walls the Waters stand,",o3900-l26050,"At Distance heap'd on either Hand,",o3900-l26040,/ænd/ | /ænd/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w1390
god | road, And own the Arm of Israel's GOD! ,o3900-l26055," Yielding a strange unbeaten Road,",o3900-l26045,/ɒd/ | /əʊd/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w1390
now | thou,"That Arm which is not short'ned now,",o3900-l26060,Still present with thy People Thou,o3900-l26070,/aʊ/ | /aʊ/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w1390
save | wave, Which wants not now the Power to save. ,o3900-l26065, Bear'st them thro' Life's disparted Wave. ,o3900-l26075,/eɪv/ | /eɪv/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w1390
thou | now,Still present with thy People Thou,o3900-l26070,"That Arm which is not short'ned now,",o3900-l26060,/aʊ/ | /aʊ/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w1390
wave | save, Bear'st them thro' Life's disparted Wave. ,o3900-l26075, Which wants not now the Power to save. ,o3900-l26065,/eɪv/ | /eɪv/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w1390
vain | gain,"By Earth and Hell persued in vain,",o3900-l26080," Shouting their Heav'nly Sion gain,",o3900-l26090,/eɪn/ | /eɪn/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w1390
come | home, To Thee the ransom'd Seed shall come;,o3900-l26085, And pass thro' Death triumphant home. ,o3900-l26095,/ʌm/ | /əʊm/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w1390
gain | vain," Shouting their Heav'nly Sion gain,",o3900-l26090,"By Earth and Hell persued in vain,",o3900-l26080,/eɪn/ | /eɪn/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w1390
home | come, And pass thro' Death triumphant home. ,o3900-l26095, To Thee the ransom'd Seed shall come;,o3900-l26085,/əʊm/ | /ʌm/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w1390
over | more,"The Pain of Life shall there be o're,",o3900-l26100," There sighing Grief shall weep no more,",o3900-l26110,/iː/ | /ɔː/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w1390
care | there, The Anguish and distracting Care;,o3900-l26105, And Sin shall never enter There! ,o3900-l26115,/eə/ | /eə/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w1390
more | over," There sighing Grief shall weep no more,",o3900-l26110,"The Pain of Life shall there be o're,",o3900-l26100,/ɔː/ | /iː/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w1390
there | care, And Sin shall never enter There! ,o3900-l26115, The Anguish and distracting Care;,o3900-l26105,/eə/ | /eə/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w1390
found | crowned,"Where pure, essential Joy is found",o3900-l26120," With everlasting Gladness crown'd,",o3900-l26130,/aʊnd/ | /aʊnd/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w1390
raise | praise," The LORD'S Redeem'd their Heads shall raise,",o3900-l26125," And fill'd with Love, and lost in Praise! ",o3900-l26135,/eɪz/ | /eɪz/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w1390
crowned | found," With everlasting Gladness crown'd,",o3900-l26130,"Where pure, essential Joy is found",o3900-l26120,/aʊnd/ | /aʊnd/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w1390
praise | raise," And fill'd with Love, and lost in Praise! ",o3900-l26135," The LORD'S Redeem'd their Heads shall raise,",o3900-l26125,/eɪz/ | /eɪz/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w1390
prayer | comforter,"GRANTED is the Saviour's Prayer,",o3900-l25040, Sent the gracious Comforter;,o3900-l25045,/eɪə/ | /ʌmfətə/,half-pararhyme,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
comforter | prayer, Sent the gracious Comforter;,o3900-l25045,"GRANTED is the Saviour's Prayer,",o3900-l25040,/ʌmfətə/ | /eɪə/,half-pararhyme,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
lord | restored," Promise of our parting LORD,",o3900-l25050, JESUS to his Heav'n restor'd:,o3900-l25055,/ɔːd/ | /ɔːd/,full,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
restored | lord, JESUS to his Heav'n restor'd:,o3900-l25055," Promise of our parting LORD,",o3900-l25050,/ɔːd/ | /ɔːd/,full,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
high | captivity,"CHRIST; who now gone up on high,",o3900-l25060," Captive leads Captivity,",o3900-l25065,/aɪ/ | /ɪvəti/,half-pararhyme,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
captivity | high," Captive leads Captivity,",o3900-l25065,"CHRIST; who now gone up on high,",o3900-l25060,/ɪvəti/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
receive | live, While his Foes from Him receive,o3900-l25070," Grace, that GOD with Man may live. ",o3900-l25075,/iːv/ | /ɪv/,half-pararhyme,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
live | receive," Grace, that GOD with Man may live. ",o3900-l25075, While his Foes from Him receive,o3900-l25070,/ɪv/ | /iːv/,half-pararhyme,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
god | abode,"GOD, the everlasting GOD,",o3900-l25080," Makes with Mortals his Abode,",o3900-l25085,/ɒd/ | /əʊd/,half-pararhyme,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
abode | god," Makes with Mortals his Abode,",o3900-l25085,"GOD, the everlasting GOD,",o3900-l25080,/əʊd/ | /ɒd/,half-pararhyme,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
contain | man," Whom the Heavens cannot contain,",o3900-l25090, He vouchsafes to dwell in Man. ,o3900-l25095,/eɪn/ | /æn/,half-pararhyme,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
man | contain, He vouchsafes to dwell in Man. ,o3900-l25095," Whom the Heavens cannot contain,",o3900-l25090,/æn/ | /eɪn/,half-pararhyme,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
depart | heart,"Never will he thence depart,",o3900-l25100, Inmate of an humble Heart;,o3900-l25105,/ɑːt/ | /ɑːt/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
heart | depart, Inmate of an humble Heart;,o3900-l25105,"Never will he thence depart,",o3900-l25100,/ɑːt/ | /ɑːt/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
within | sin," Carrying on his Work within,",o3900-l25110, Striving till he cast out Sin. ,o3900-l25115,/ɪn/ | /ɪn/,full,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
sin | within, Striving till he cast out Sin. ,o3900-l25115," Carrying on his Work within,",o3900-l25110,/ɪn/ | /ɪn/,full,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
moans | groans,"There He helps our feeble Moans,",o3900-l25120, Deepens our imperfect Groans;,o3900-l25125,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
groans | moans, Deepens our imperfect Groans;,o3900-l25125,"There He helps our feeble Moans,",o3900-l25120,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
there | prayer," Intercedes in Silence there,",o3900-l25130, Sighs th' Unutterable Prayer. ,o3900-l25135,/eə/ | /eɪə/,half-pararhyme,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
prayer | there, Sighs th' Unutterable Prayer. ,o3900-l25135," Intercedes in Silence there,",o3900-l25130,/eɪə/ | /eə/,half-pararhyme,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
guest | breast,"Come, Divine and peaceful Guest,",o3900-l25140, Enter our devoted Breast;,o3900-l25145,/est/ | /est/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
breast | guest, Enter our devoted Breast;,o3900-l25145,"Come, Divine and peaceful Guest,",o3900-l25140,/est/ | /est/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
inspire | gospel-fire," HOLY GHOST, our Hearts inspire,",o3900-l25150, Kindle there the Gospel-Fire. ,o3900-l25155,/æə/ | /æə/,full,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
gospel-fire | inspire, Kindle there the Gospel-Fire. ,o3900-l25155," HOLY GHOST, our Hearts inspire,",o3900-l25150,/æə/ | /æə/,full,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
strife | life,"Crown the agonizing Strife,",o3900-l25160," Principle, and LORD of Life;",o3900-l25165,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
life | strife," Principle, and LORD of Life;",o3900-l25165,"Crown the agonizing Strife,",o3900-l25160,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
renew | too," Life Divine in us renew,",o3900-l25170, Thou the Gift and Giver too! ,o3900-l25175,/uː/ | /uː/,full,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
too | renew, Thou the Gift and Giver too! ,o3900-l25175," Life Divine in us renew,",o3900-l25170,/uː/ | /uː/,full,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
earth | birth,"Now descend and shake the Earth,",o3900-l25180, Wake us into Second Birth;,o3900-l25185,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
birth | earth, Wake us into Second Birth;,o3900-l25185,"Now descend and shake the Earth,",o3900-l25180,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
give | live," Now thy quick'ning Influence give,",o3900-l25190, Blow — and these dry Bones shall live! ,o3900-l25195,/ɪv/ | /ɪv/,full,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
live | give, Blow — and these dry Bones shall live! ,o3900-l25195," Now thy quick'ning Influence give,",o3900-l25190,/ɪv/ | /ɪv/,full,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
night | light,"Brood Thou o'er our Nature's Night,",o3900-l25200, Darkness kindles into Light;,o3900-l25205,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
light | night, Darkness kindles into Light;,o3900-l25205,"Brood Thou o'er our Nature's Night,",o3900-l25200,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
wings | springs," Spread thy over-shadowing Wings,",o3900-l25210, Order from Confusion springs. ,o3900-l25215,/ɪŋz/ | /ɪŋz/,full,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
springs | wings, Order from Confusion springs. ,o3900-l25215," Spread thy over-shadowing Wings,",o3900-l25210,/ɪŋz/ | /ɪŋz/,full,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
cease | peace,"Pain and Sin, and Sorrow cease,",o3900-l25220," Thee we taste, and all is Peace;",o3900-l25225,/iːs/ | /iːs/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
peace | cease," Thee we taste, and all is Peace;",o3900-l25225,"Pain and Sin, and Sorrow cease,",o3900-l25220,/iːs/ | /iːs/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1330
prove | love," Joy Divine in Thee we prove,",o3900-l25230," Light of Truth, and Fire and Love. ",o3900-l25235,/uːv/ | /ʌv/,half-pararhyme,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
love | prove," Light of Truth, and Fire and Love. ",o3900-l25235," Joy Divine in Thee we prove,",o3900-l25230,/ʌv/ | /uːv/,half-pararhyme,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
ray | day,"WHAT Morn on Thee with sweeter Ray,",o3900-l23910,Be blest the Memorable Day,o3900-l23920,/eɪ/ | /eɪ/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1280
shined | find, Or brighter Lustre e'er hath shin'd? ,o3900-l23915, That gave Thee JESUS CHRIST to find! ,o3900-l23925,/aɪnd/ | /aɪnd/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1280
day | ray,Be blest the Memorable Day,o3900-l23920,"WHAT Morn on Thee with sweeter Ray,",o3900-l23910,/eɪ/ | /eɪ/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1280
find | shined, That gave Thee JESUS CHRIST to find! ,o3900-l23925, Or brighter Lustre e'er hath shin'd? ,o3900-l23915,/aɪnd/ | /aɪnd/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1280
grace | pass,"Gave Thee to taste his perfect Grace,",o3900-l23930, From Death to Life in Him to pass! ,o3900-l23935,/eɪs/ | /ɑːs/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1280
pass | grace, From Death to Life in Him to pass! ,o3900-l23935,"Gave Thee to taste his perfect Grace,",o3900-l23930,/ɑːs/ | /eɪs/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1280
scene | been,"O how diversify'd the Scene,",o3900-l23940,Evil and few thy Days have been:,o3900-l23950,/iːn/ | /iːn/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1280
beat | great, Since first that Heart began to beat! ,o3900-l23945," In Suff'ring, and in Comfort, great,",o3900-l23955,/iːt/ | /eɪt/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1280
been | scene,Evil and few thy Days have been:,o3900-l23950,"O how diversify'd the Scene,",o3900-l23940,/iːn/ | /iːn/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1280
great | beat," In Suff'ring, and in Comfort, great,",o3900-l23955, Since first that Heart began to beat! ,o3900-l23945,/eɪt/ | /iːt/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1280
load | god," Oft hast Thou groan'd beneath thy Load,",o3900-l23960, And sunk — into the Arms of GOD! ,o3900-l23965,/əʊd/ | /ɒd/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1280
god | load, And sunk — into the Arms of GOD! ,o3900-l23965," Oft hast Thou groan'd beneath thy Load,",o3900-l23960,/ɒd/ | /əʊd/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1280
engage | rage,"Long did all Hell its Pow'rs engage,",o3900-l23970," Baffled at length the Dragon's Rage,",o3900-l23980,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1280
fears | appears, And fill'd thy darken'd Soul with Fears:,o3900-l23975, At length th'Attoning Blood appears:,o3900-l23985,/ɪəz/ | /ɪəz/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1280
rage | engage," Baffled at length the Dragon's Rage,",o3900-l23980,"Long did all Hell its Pow'rs engage,",o3900-l23970,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1280
appears | fears, At length th'Attoning Blood appears:,o3900-l23985, And fill'd thy darken'd Soul with Fears:,o3900-l23975,/ɪəz/ | /ɪəz/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1280
over | more," Thy Light is come, thy Mourning's o'er,",o3900-l23990, Look up; for Thou shalt weep no more! ,o3900-l23995,/ɔːə/ | /ɔː/,half-vowelrhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1280
more | over, Look up; for Thou shalt weep no more! ,o3900-l23995," Thy Light is come, thy Mourning's o'er,",o3900-l23990,/ɔː/ | /ɔːə/,half-vowelrhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1280
free | thee,"Blest be the Name that sets Thee free,",o3900-l24000,The Sun of Righteousness on Thee,o3900-l24010,/iː/ | /iː/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1280
brings | wings, The Name that sure Salvation brings! ,o3900-l24005, Has rose with Healing in his Wings. ,o3900-l24015,/ɪŋz/ | /ɪŋz/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1280
thee | free,The Sun of Righteousness on Thee,o3900-l24010,"Blest be the Name that sets Thee free,",o3900-l24000,/iː/ | /iː/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1280
wings | brings, Has rose with Healing in his Wings. ,o3900-l24015, The Name that sure Salvation brings! ,o3900-l24005,/ɪŋz/ | /ɪŋz/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1280
flee | thee,Away let Grief and Sighing flee;,o3900-l24020, JESUS has died for Thee — for Thee! ,o3900-l24025,/iː/ | /iː/,full,abab<b>c</b><b>c</b>,pers00309,o3900-w1280
thee | flee, JESUS has died for Thee — for Thee! ,o3900-l24025,Away let Grief and Sighing flee;,o3900-l24020,/iː/ | /iː/,full,abab<b>c</b><b>c</b>,pers00309,o3900-w1280
own | down,"And will He now forsake his own,",o3900-l24030,"No! for He looks with Pity down,",o3900-l24040,/əʊn/ | /aʊn/,half-pararhyme,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1280
blood | good, Or lose the Purchase of his Blood? ,o3900-l24035, He watches over Thee for Good;,o3900-l24045,/ʌd/ | /ʊd/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1280
down | own,"No! for He looks with Pity down,",o3900-l24040,"And will He now forsake his own,",o3900-l24030,/aʊn/ | /əʊn/,half-pararhyme,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1280
good | blood, He watches over Thee for Good;,o3900-l24045, Or lose the Purchase of his Blood? ,o3900-l24035,/ʊd/ | /ʌd/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1280
above | love," Gracious He eyes Thee from above,",o3900-l24050, And guards and feeds Thee with his Love. ,o3900-l24055,/ʌv/ | /ʌv/,full,abab<b>c</b><b>c</b>,pers00309,o3900-w1280
love | above, And guards and feeds Thee with his Love. ,o3900-l24055," Gracious He eyes Thee from above,",o3900-l24050,/ʌv/ | /ʌv/,full,abab<b>c</b><b>c</b>,pers00309,o3900-w1280
sight | height,"Since Thou wast precious in his Sight,",o3900-l24060,"Upborn by Faith to Glory's Height,",o3900-l24070,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1280
been | seen, How highly favour'd hast Thou been! ,o3900-l24065," The Saviour-GOD thine Eyes have seen,",o3900-l24075,/iːn/ | /iːn/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1280
height | sight,"Upborn by Faith to Glory's Height,",o3900-l24070,"Since Thou wast precious in his Sight,",o3900-l24060,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1280
seen | been," The Saviour-GOD thine Eyes have seen,",o3900-l24075, How highly favour'd hast Thou been! ,o3900-l24065,/iːn/ | /iːn/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1280
forgiven | heaven," Thy Heart has felt its Sins forgiv'n,",o3900-l24080, And tastes Anticipated Heav'n. ,o3900-l24085,/ɪvn/ | /evn/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1280
heaven | forgiven, And tastes Anticipated Heav'n. ,o3900-l24085," Thy Heart has felt its Sins forgiv'n,",o3900-l24080,/evn/ | /ɪvn/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1280
