r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
powers | bowers,"HITHER, all ye heav'nly pow'rs,",o5153-l11605,From your empyreal bow'rs;,o5153-l11610,/aʊəz/ | /aʊəz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
faculty | fry,"Ne any sense, ne any faculty,",o5153-l10270,"With the base count'nance of the vassal fry,",o5153-l10260,/æklti/ | /aɪ/,half-pararhyme,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
faculty | ministry,"Ne any sense, ne any faculty,",o5153-l10270,That did not to his throne owe servile ministry.,o5153-l10275,/æklti/ | /ɪnɪstri/,half-pararhyme,ababbcb<b>c</b><b>c</b>,pers00024,o5153-w0310
ministry | fry,That did not to his throne owe servile ministry.,o5153-l10275,"With the base count'nance of the vassal fry,",o5153-l10260,/ɪnɪstri/ | /aɪ/,half-pararhyme,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
ministry | faculty,That did not to his throne owe servile ministry.,o5153-l10275,"Ne any sense, ne any faculty,",o5153-l10270,/ɪnɪstri/ | /æklti/,half-pararhyme,ababbcb<b>c</b><b>c</b>,pers00024,o5153-w0310
low | show,Yet wist he not that half that homage low,o5153-l10280,"The which conducted all that goodly show,",o5153-l10290,/əʊ/ | /əʊ/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5153-w0310
paid | played,"Was at a wizard's shrine in private pay'd,",o5153-l10285,"And as he list th' imperial puppet play'd,",o5153-l10295,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
paid | made,"Was at a wizard's shrine in private pay'd,",o5153-l10285,"By secret springs and wheels right wisely made,",o5153-l10300,/eɪd/ | /eɪd/,full,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
paid | said,"Was at a wizard's shrine in private pay'd,",o5153-l10285,"But deem in sooth that all he did or said,",o5153-l10310,/eɪd/ | /ed/,half-pararhyme,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
show | low,"The which conducted all that goodly show,",o5153-l10290,Yet wist he not that half that homage low,o5153-l10280,/əʊ/ | /əʊ/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5153-w0310
played | paid,"And as he list th' imperial puppet play'd,",o5153-l10295,"Was at a wizard's shrine in private pay'd,",o5153-l10285,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
played | made,"And as he list th' imperial puppet play'd,",o5153-l10295,"By secret springs and wheels right wisely made,",o5153-l10300,/eɪd/ | /eɪd/,full,aba<b>b</b><b>b</b>cbcc,pers00024,o5153-w0310
played | said,"And as he list th' imperial puppet play'd,",o5153-l10295,"But deem in sooth that all he did or said,",o5153-l10310,/eɪd/ | /ed/,half-pararhyme,aba<b>b</b>bc<b>b</b>cc,pers00024,o5153-w0310
made | paid,"By secret springs and wheels right wisely made,",o5153-l10300,"Was at a wizard's shrine in private pay'd,",o5153-l10285,/eɪd/ | /eɪd/,full,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
made | played,"By secret springs and wheels right wisely made,",o5153-l10300,"And as he list th' imperial puppet play'd,",o5153-l10295,/eɪd/ | /eɪd/,full,aba<b>b</b><b>b</b>cbcc,pers00024,o5153-w0310
made | said,"By secret springs and wheels right wisely made,",o5153-l10300,"But deem in sooth that all he did or said,",o5153-l10310,/eɪd/ | /ed/,half-pararhyme,abab<b>b</b>c<b>b</b>cc,pers00024,o5153-w0310
avise | rise,"That he the subtle wires mote not avize,",o5153-l10305,"From his own motion and free grace did rise,",o5153-l10315,/ævaɪz/ | /aɪz/,half-vowelrhyme,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
avise | wise,"That he the subtle wires mote not avize,",o5153-l10305,"And that he justly hight immortal, great, and wise.",o5153-l10320,/ævaɪz/ | /aɪz/,half-vowelrhyme,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
said | paid,"But deem in sooth that all he did or said,",o5153-l10310,"Was at a wizard's shrine in private pay'd,",o5153-l10285,/ed/ | /eɪd/,half-pararhyme,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
said | played,"But deem in sooth that all he did or said,",o5153-l10310,"And as he list th' imperial puppet play'd,",o5153-l10295,/ed/ | /eɪd/,half-pararhyme,aba<b>b</b>bc<b>b</b>cc,pers00024,o5153-w0310
said | made,"But deem in sooth that all he did or said,",o5153-l10310,"By secret springs and wheels right wisely made,",o5153-l10300,/ed/ | /eɪd/,half-pararhyme,abab<b>b</b>c<b>b</b>cc,pers00024,o5153-w0310
rise | avise,"From his own motion and free grace did rise,",o5153-l10315,"That he the subtle wires mote not avize,",o5153-l10305,/aɪz/ | /ævaɪz/,half-vowelrhyme,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
rise | wise,"From his own motion and free grace did rise,",o5153-l10315,"And that he justly hight immortal, great, and wise.",o5153-l10320,/aɪz/ | /aɪz/,full,ababbcb<b>c</b><b>c</b>,pers00024,o5153-w0310
wise | avise,"And that he justly hight immortal, great, and wise.",o5153-l10320,"That he the subtle wires mote not avize,",o5153-l10305,/aɪz/ | /ævaɪz/,half-vowelrhyme,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
wise | rise,"And that he justly hight immortal, great, and wise.",o5153-l10320,"From his own motion and free grace did rise,",o5153-l10315,/aɪz/ | /aɪz/,full,ababbcb<b>c</b><b>c</b>,pers00024,o5153-w0310
train | chain,"And eke to each of that same gilded train,",o5153-l10325,"Was by that wizard ty'd a magick chain,",o5153-l10335,/eɪn/ | /eɪn/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5153-w0310
stand | command,"That meekly round that lordly throne did stand,",o5153-l10330,"Whereby their actions all he mote command,",o5153-l10340,/ænd/ | /ɑːnd/,half-pararhyme,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
stand | land,"That meekly round that lordly throne did stand,",o5153-l10330,And rule with hidden influence the land.,o5153-l10345,/ænd/ | /ænd/,full,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
stand | hand,"That meekly round that lordly throne did stand,",o5153-l10330,And those same magick chains within his hand,o5153-l10355,/ænd/ | /ænd/,full,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
chain | train,"Was by that wizard ty'd a magick chain,",o5153-l10335,"And eke to each of that same gilded train,",o5153-l10325,/eɪn/ | /eɪn/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5153-w0310
command | stand,"Whereby their actions all he mote command,",o5153-l10340,"That meekly round that lordly throne did stand,",o5153-l10330,/ɑːnd/ | /ænd/,half-pararhyme,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
command | land,"Whereby their actions all he mote command,",o5153-l10340,And rule with hidden influence the land.,o5153-l10345,/ɑːnd/ | /ænd/,half-pararhyme,aba<b>b</b><b>b</b>cbcc,pers00024,o5153-w0310
command | hand,"Whereby their actions all he mote command,",o5153-l10340,And those same magick chains within his hand,o5153-l10355,/ɑːnd/ | /ænd/,half-pararhyme,aba<b>b</b>bc<b>b</b>cc,pers00024,o5153-w0310
land | stand,And rule with hidden influence the land.,o5153-l10345,"That meekly round that lordly throne did stand,",o5153-l10330,/ænd/ | /ænd/,full,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
land | command,And rule with hidden influence the land.,o5153-l10345,"Whereby their actions all he mote command,",o5153-l10340,/ænd/ | /ɑːnd/,half-pararhyme,aba<b>b</b><b>b</b>cbcc,pers00024,o5153-w0310
land | hand,And rule with hidden influence the land.,o5153-l10345,And those same magick chains within his hand,o5153-l10355,/ænd/ | /ænd/,full,abab<b>b</b>c<b>b</b>cc,pers00024,o5153-w0310
bend | end,"Yet to his lord he outwardly did bend,",o5153-l10350,"Did seem to place, albeit by the end",o5153-l10360,/end/ | /end/,full,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
bend | rend,"Yet to his lord he outwardly did bend,",o5153-l10350,"He held them fast, that none them from his gripe mote rend.",o5153-l10365,/end/ | /end/,full,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
hand | stand,And those same magick chains within his hand,o5153-l10355,"That meekly round that lordly throne did stand,",o5153-l10330,/ænd/ | /ænd/,full,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
hand | command,And those same magick chains within his hand,o5153-l10355,"Whereby their actions all he mote command,",o5153-l10340,/ænd/ | /ɑːnd/,half-pararhyme,aba<b>b</b>bc<b>b</b>cc,pers00024,o5153-w0310
hand | land,And those same magick chains within his hand,o5153-l10355,And rule with hidden influence the land.,o5153-l10345,/ænd/ | /ænd/,full,abab<b>b</b>c<b>b</b>cc,pers00024,o5153-w0310
end | bend,"Did seem to place, albeit by the end",o5153-l10360,"Yet to his lord he outwardly did bend,",o5153-l10350,/end/ | /end/,full,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
end | rend,"Did seem to place, albeit by the end",o5153-l10360,"He held them fast, that none them from his gripe mote rend.",o5153-l10365,/end/ | /end/,full,ababbcb<b>c</b><b>c</b>,pers00024,o5153-w0310
rend | bend,"He held them fast, that none them from his gripe mote rend.",o5153-l10365,"Yet to his lord he outwardly did bend,",o5153-l10350,/end/ | /end/,full,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
rend | end,"He held them fast, that none them from his gripe mote rend.",o5153-l10365,"Did seem to place, albeit by the end",o5153-l10360,/end/ | /end/,full,ababbcb<b>c</b><b>c</b>,pers00024,o5153-w0310
mage | sage,"He was to weet an old and wrinkled mage,",o5153-l10370,"And from experience grown so crafty sage,",o5153-l10380,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5153-w0310
policy | descry,"Deep read in all the arts of policy,",o5153-l10375,"That none his secret counsels mote descry,",o5153-l10385,/ɒləsi/ | /aɪ/,half-pararhyme,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
policy | subtlety,"Deep read in all the arts of policy,",o5153-l10375,Ne search the mines of his deep subtlety.,o5153-l10390,/ɒləsi/ | /ʌtlti/,half-pararhyme,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
policy | industry,"Deep read in all the arts of policy,",o5153-l10375,"And traffick did promote and industry,",o5153-l10400,/ɒləsi/ | /ɪndəstri/,half-pararhyme,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
sage | mage,"And from experience grown so crafty sage,",o5153-l10380,"He was to weet an old and wrinkled mage,",o5153-l10370,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5153-w0310
descry | policy,"That none his secret counsels mote descry,",o5153-l10385,"Deep read in all the arts of policy,",o5153-l10375,/aɪ/ | /ɒləsi/,half-pararhyme,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
descry | subtlety,"That none his secret counsels mote descry,",o5153-l10385,Ne search the mines of his deep subtlety.,o5153-l10390,/aɪ/ | /ʌtlti/,half-pararhyme,aba<b>b</b><b>b</b>cbcc,pers00024,o5153-w0310
descry | industry,"That none his secret counsels mote descry,",o5153-l10385,"And traffick did promote and industry,",o5153-l10400,/aɪ/ | /ɪndəstri/,half-pararhyme,aba<b>b</b>bc<b>b</b>cc,pers00024,o5153-w0310
subtlety | policy,Ne search the mines of his deep subtlety.,o5153-l10390,"Deep read in all the arts of policy,",o5153-l10375,/ʌtlti/ | /ɒləsi/,half-pararhyme,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
subtlety | descry,Ne search the mines of his deep subtlety.,o5153-l10390,"That none his secret counsels mote descry,",o5153-l10385,/ʌtlti/ | /aɪ/,half-pararhyme,aba<b>b</b><b>b</b>cbcc,pers00024,o5153-w0310
subtlety | industry,Ne search the mines of his deep subtlety.,o5153-l10390,"And traffick did promote and industry,",o5153-l10400,/ʌtlti/ | /ɪndəstri/,half-pararhyme,abab<b>b</b>c<b>b</b>cc,pers00024,o5153-w0310
cherished | fed,Thereto fair peace he lov'd and cherished;,o5153-l10395,"Whereby the vulgar were in quiet fed,",o5153-l10405,/erɪʃt/ | /ed/,half-pararhyme,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
cherished | wallowed,Thereto fair peace he lov'd and cherished;,o5153-l10395,And the proud lords in ease and plenty wallowed.,o5153-l10410,/erɪʃt/ | /ɒləʊd/,half-pararhyme,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
industry | policy,"And traffick did promote and industry,",o5153-l10400,"Deep read in all the arts of policy,",o5153-l10375,/ɪndəstri/ | /ɒləsi/,half-pararhyme,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
industry | descry,"And traffick did promote and industry,",o5153-l10400,"That none his secret counsels mote descry,",o5153-l10385,/ɪndəstri/ | /aɪ/,half-pararhyme,aba<b>b</b>bc<b>b</b>cc,pers00024,o5153-w0310
industry | subtlety,"And traffick did promote and industry,",o5153-l10400,Ne search the mines of his deep subtlety.,o5153-l10390,/ɪndəstri/ | /ʌtlti/,half-pararhyme,abab<b>b</b>c<b>b</b>cc,pers00024,o5153-w0310
fed | cherished,"Whereby the vulgar were in quiet fed,",o5153-l10405,Thereto fair peace he lov'd and cherished;,o5153-l10395,/ed/ | /erɪʃt/,half-pararhyme,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
fed | wallowed,"Whereby the vulgar were in quiet fed,",o5153-l10405,And the proud lords in ease and plenty wallowed.,o5153-l10410,/ed/ | /ɒləʊd/,half-pararhyme,ababbcb<b>c</b><b>c</b>,pers00024,o5153-w0310
wallowed | cherished,And the proud lords in ease and plenty wallowed.,o5153-l10410,Thereto fair peace he lov'd and cherished;,o5153-l10395,/ɒləʊd/ | /erɪʃt/,half-pararhyme,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
wallowed | fed,And the proud lords in ease and plenty wallowed.,o5153-l10410,"Whereby the vulgar were in quiet fed,",o5153-l10405,/ɒləʊd/ | /ed/,half-pararhyme,ababbcb<b>c</b><b>c</b>,pers00024,o5153-w0310
court | resort,"Thence all the gorgeous splendor of the court,",o5153-l10415,"Was to that hope-built temple to resort,",o5153-l10425,/ɔːt/ | /ɔːt/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5153-w0310
great | wait," Sith the sole bus'ness of the rich and great,",o5153-l10420,"And round their earthly god in glory wait,",o5153-l10430,/eɪt/ | /eɪt/,full,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
great | state," Sith the sole bus'ness of the rich and great,",o5153-l10420,"Who with their pride to swell his royal state,",o5153-l10435,/eɪt/ | /eɪt/,full,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
great | aggrate," Sith the sole bus'ness of the rich and great,",o5153-l10420,"Brought him by harpies fell, him to aggrate,",o5153-l10445,/eɪt/ | /eɪt/,full,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
resort | court,"Was to that hope-built temple to resort,",o5153-l10425,"Thence all the gorgeous splendor of the court,",o5153-l10415,/ɔːt/ | /ɔːt/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5153-w0310
wait | great,"And round their earthly god in glory wait,",o5153-l10430," Sith the sole bus'ness of the rich and great,",o5153-l10420,/eɪt/ | /eɪt/,full,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
wait | state,"And round their earthly god in glory wait,",o5153-l10430,"Who with their pride to swell his royal state,",o5153-l10435,/eɪt/ | /eɪt/,full,aba<b>b</b><b>b</b>cbcc,pers00024,o5153-w0310
wait | aggrate,"And round their earthly god in glory wait,",o5153-l10430,"Brought him by harpies fell, him to aggrate,",o5153-l10445,/eɪt/ | /eɪt/,full,aba<b>b</b>bc<b>b</b>cc,pers00024,o5153-w0310
state | great,"Who with their pride to swell his royal state,",o5153-l10435," Sith the sole bus'ness of the rich and great,",o5153-l10420,/eɪt/ | /eɪt/,full,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
state | wait,"Who with their pride to swell his royal state,",o5153-l10435,"And round their earthly god in glory wait,",o5153-l10430,/eɪt/ | /eɪt/,full,aba<b>b</b><b>b</b>cbcc,pers00024,o5153-w0310
state | aggrate,"Who with their pride to swell his royal state,",o5153-l10435,"Brought him by harpies fell, him to aggrate,",o5153-l10445,/eɪt/ | /eɪt/,full,abab<b>b</b>c<b>b</b>cc,pers00024,o5153-w0310
one | throne,"Did pour large sums of gold on ev'ry one,",o5153-l10440,"And torn from peasants vile, beneath the throne",o5153-l10450,/ʌn/ | /əʊn/,half-pararhyme,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
one | groan,"Did pour large sums of gold on ev'ry one,",o5153-l10440,"Who lay deep sunk in earth, and inwardly did groan.",o5153-l10455,/ʌn/ | /əʊn/,half-pararhyme,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
aggrate | great,"Brought him by harpies fell, him to aggrate,",o5153-l10445," Sith the sole bus'ness of the rich and great,",o5153-l10420,/eɪt/ | /eɪt/,full,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
aggrate | wait,"Brought him by harpies fell, him to aggrate,",o5153-l10445,"And round their earthly god in glory wait,",o5153-l10430,/eɪt/ | /eɪt/,full,aba<b>b</b>bc<b>b</b>cc,pers00024,o5153-w0310
aggrate | state,"Brought him by harpies fell, him to aggrate,",o5153-l10445,"Who with their pride to swell his royal state,",o5153-l10435,/eɪt/ | /eɪt/,full,abab<b>b</b>c<b>b</b>cc,pers00024,o5153-w0310
throne | one,"And torn from peasants vile, beneath the throne",o5153-l10450,"Did pour large sums of gold on ev'ry one,",o5153-l10440,/əʊn/ | /ʌn/,half-pararhyme,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
throne | groan,"And torn from peasants vile, beneath the throne",o5153-l10450,"Who lay deep sunk in earth, and inwardly did groan.",o5153-l10455,/əʊn/ | /əʊn/,full,ababbcb<b>c</b><b>c</b>,pers00024,o5153-w0310
groan | one,"Who lay deep sunk in earth, and inwardly did groan.",o5153-l10455,"Did pour large sums of gold on ev'ry one,",o5153-l10440,/əʊn/ | /ʌn/,half-pararhyme,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
groan | throne,"Who lay deep sunk in earth, and inwardly did groan.",o5153-l10455,"And torn from peasants vile, beneath the throne",o5153-l10450,/əʊn/ | /əʊn/,full,ababbcb<b>c</b><b>c</b>,pers00024,o5153-w0310
height | light,"Behold, says ARCHIMAGE, the envy'd height",o5153-l10460,"Behold yon sun of pow'r, whose glorious light,",o5153-l10470,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5153-w0310
allied | wide,Of human grandeur to the gods ally'd!,o5153-l10465,"O'er this rejoicing land out-beaming wide,",o5153-l10475,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
allied | side,Of human grandeur to the gods ally'd!,o5153-l10465,Calls up those princely flow'rs on ev'ry side;,o5153-l10480,/aɪd/ | /aɪd/,full,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
allied | pride,Of human grandeur to the gods ally'd!,o5153-l10465,"Ne toil, ne spin, ne stain their silken pride",o5153-l10490,/aɪd/ | /aɪd/,full,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
light | height,"Behold yon sun of pow'r, whose glorious light,",o5153-l10470,"Behold, says ARCHIMAGE, the envy'd height",o5153-l10460,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5153-w0310
wide | allied,"O'er this rejoicing land out-beaming wide,",o5153-l10475,Of human grandeur to the gods ally'd!,o5153-l10465,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
wide | side,"O'er this rejoicing land out-beaming wide,",o5153-l10475,Calls up those princely flow'rs on ev'ry side;,o5153-l10480,/aɪd/ | /aɪd/,full,aba<b>b</b><b>b</b>cbcc,pers00024,o5153-w0310
wide | pride,"O'er this rejoicing land out-beaming wide,",o5153-l10475,"Ne toil, ne spin, ne stain their silken pride",o5153-l10490,/aɪd/ | /aɪd/,full,aba<b>b</b>bc<b>b</b>cc,pers00024,o5153-w0310
side | allied,Calls up those princely flow'rs on ev'ry side;,o5153-l10480,Of human grandeur to the gods ally'd!,o5153-l10465,/aɪd/ | /aɪd/,full,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
side | wide,Calls up those princely flow'rs on ev'ry side;,o5153-l10480,"O'er this rejoicing land out-beaming wide,",o5153-l10475,/aɪd/ | /aɪd/,full,aba<b>b</b><b>b</b>cbcc,pers00024,o5153-w0310
side | pride,Calls up those princely flow'rs on ev'ry side;,o5153-l10480,"Ne toil, ne spin, ne stain their silken pride",o5153-l10490,/aɪd/ | /aɪd/,full,abab<b>b</b>c<b>b</b>cc,pers00024,o5153-w0310
plain | pain,"Which like the painted daughters of the plain,",o5153-l10485,"With care, or sorrow, sith withouten pain,",o5153-l10495,/eɪn/ | /eɪn/,full,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
plain | maintain,"Which like the painted daughters of the plain,",o5153-l10485,Them in eternal joy those heav'nly beams maintain.,o5153-l10500,/eɪn/ | /eɪn/,full,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
pride | allied,"Ne toil, ne spin, ne stain their silken pride",o5153-l10490,Of human grandeur to the gods ally'd!,o5153-l10465,/aɪd/ | /aɪd/,full,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
pride | wide,"Ne toil, ne spin, ne stain their silken pride",o5153-l10490,"O'er this rejoicing land out-beaming wide,",o5153-l10475,/aɪd/ | /aɪd/,full,aba<b>b</b>bc<b>b</b>cc,pers00024,o5153-w0310
pride | side,"Ne toil, ne spin, ne stain their silken pride",o5153-l10490,Calls up those princely flow'rs on ev'ry side;,o5153-l10480,/aɪd/ | /aɪd/,full,abab<b>b</b>c<b>b</b>cc,pers00024,o5153-w0310
pain | plain,"With care, or sorrow, sith withouten pain,",o5153-l10495,"Which like the painted daughters of the plain,",o5153-l10485,/eɪn/ | /eɪn/,full,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
pain | maintain,"With care, or sorrow, sith withouten pain,",o5153-l10495,Them in eternal joy those heav'nly beams maintain.,o5153-l10500,/eɪn/ | /eɪn/,full,ababbcb<b>c</b><b>c</b>,pers00024,o5153-w0310
maintain | plain,Them in eternal joy those heav'nly beams maintain.,o5153-l10500,"Which like the painted daughters of the plain,",o5153-l10485,/eɪn/ | /eɪn/,full,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
maintain | pain,Them in eternal joy those heav'nly beams maintain.,o5153-l10500,"With care, or sorrow, sith withouten pain,",o5153-l10495,/eɪn/ | /eɪn/,full,ababbcb<b>c</b><b>c</b>,pers00024,o5153-w0310
greets | sweets,"Them morn and evening joy eternal greets,",o5153-l10505,Gathering from land and ocean honied sweets,o5153-l10515,/iːts/ | /iːts/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5153-w0310
moil | while,"And for them thousands and ten thousands moil,",o5153-l10510,"For them, who in soft indolence the while",o5153-l10520,/ɔɪl/ | /aɪl/,half-pararhyme,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
moil | spoil,"And for them thousands and ten thousands moil,",o5153-l10510,And slumb'ring peace enjoy the luscious spoil;,o5153-l10525,/ɔɪl/ | /ɔɪl/,full,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
moil | toil,"And for them thousands and ten thousands moil,",o5153-l10510," Forespent with labour and incessant toil,",o5153-l10535,/ɔɪl/ | /ɔɪl/,full,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
sweets | greets,Gathering from land and ocean honied sweets,o5153-l10515,"Them morn and evening joy eternal greets,",o5153-l10505,/iːts/ | /iːts/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5153-w0310
while | moil,"For them, who in soft indolence the while",o5153-l10520,"And for them thousands and ten thousands moil,",o5153-l10510,/aɪl/ | /ɔɪl/,half-pararhyme,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
while | spoil,"For them, who in soft indolence the while",o5153-l10520,And slumb'ring peace enjoy the luscious spoil;,o5153-l10525,/aɪl/ | /ɔɪl/,half-pararhyme,aba<b>b</b><b>b</b>cbcc,pers00024,o5153-w0310
while | toil,"For them, who in soft indolence the while",o5153-l10520," Forespent with labour and incessant toil,",o5153-l10535,/aɪl/ | /ɔɪl/,half-pararhyme,aba<b>b</b>bc<b>b</b>cc,pers00024,o5153-w0310
spoil | moil,And slumb'ring peace enjoy the luscious spoil;,o5153-l10525,"And for them thousands and ten thousands moil,",o5153-l10510,/ɔɪl/ | /ɔɪl/,full,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
spoil | while,And slumb'ring peace enjoy the luscious spoil;,o5153-l10525,"For them, who in soft indolence the while",o5153-l10520,/ɔɪl/ | /aɪl/,half-pararhyme,aba<b>b</b><b>b</b>cbcc,pers00024,o5153-w0310
spoil | toil,And slumb'ring peace enjoy the luscious spoil;,o5153-l10525," Forespent with labour and incessant toil,",o5153-l10535,/ɔɪl/ | /ɔɪl/,full,abab<b>b</b>c<b>b</b>cc,pers00024,o5153-w0310
bees | please,And as they view around the careful bees,o5153-l10530,"With the sweet contrast learn themselves to please,",o5153-l10540,/iːz/ | /iːz/,full,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
bees | ease,And as they view around the careful bees,o5153-l10530,And heighten by compare the luxury of ease.,o5153-l10545,/iːz/ | /iːz/,full,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
toil | moil," Forespent with labour and incessant toil,",o5153-l10535,"And for them thousands and ten thousands moil,",o5153-l10510,/ɔɪl/ | /ɔɪl/,full,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
toil | while," Forespent with labour and incessant toil,",o5153-l10535,"For them, who in soft indolence the while",o5153-l10520,/ɔɪl/ | /aɪl/,half-pararhyme,aba<b>b</b>bc<b>b</b>cc,pers00024,o5153-w0310
toil | spoil," Forespent with labour and incessant toil,",o5153-l10535,And slumb'ring peace enjoy the luscious spoil;,o5153-l10525,/ɔɪl/ | /ɔɪl/,full,abab<b>b</b>c<b>b</b>cc,pers00024,o5153-w0310
please | bees,"With the sweet contrast learn themselves to please,",o5153-l10540,And as they view around the careful bees,o5153-l10530,/iːz/ | /iːz/,full,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
please | ease,"With the sweet contrast learn themselves to please,",o5153-l10540,And heighten by compare the luxury of ease.,o5153-l10545,/iːz/ | /iːz/,full,ababbcb<b>c</b><b>c</b>,pers00024,o5153-w0310
ease | bees,And heighten by compare the luxury of ease.,o5153-l10545,And as they view around the careful bees,o5153-l10530,/iːz/ | /iːz/,full,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
ease | please,And heighten by compare the luxury of ease.,o5153-l10545,"With the sweet contrast learn themselves to please,",o5153-l10540,/iːz/ | /iːz/,full,ababbcb<b>c</b><b>c</b>,pers00024,o5153-w0310
knight | bright,"Ungenerous man, quoth then the Fairy knight,",o5153-l10550,"And thou, unworthy of that glory bright,",o5153-l10560,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5153-w0310
woe | brow,That can rejoice to see another's woe!,o5153-l10555,"Wherewith the gods have deck'd thy princely brow,",o5153-l10565,/əʊ/ | /aʊ/,half-pararhyme,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
