dim,id,label,poems,authors
syllab,8.8.10.10,8.8.10.10,2,2
syllab,8.8.8.8.10.8.8.10,8.8.8.8.10.8.8.10,1,1
syllab,8.6.8.6.10.12,8.6.8.6.10.12,1,1
syllab,8.8.8.4.8.8.8.4.8.8.8.4,8.8.8.4.8.8.8.4.8.8.8.4,1,1
syllab,8.8.8.8.8.8.8.8.10.10,8.8.8.8.8.8.8.8.10.10,1,1
syllab,6.6.8.6.6.8,6.6.8.6.6.8,1,1
syllab,8.10.8.10.10.12,8.10.8.10.10.12,1,1
syllab,10.6.10.6,10.6.10.6,1,1
syllab,7.7.7.7.7.7.7.7.7.7,7.7.7.7.7.7.7.7.7.7,1,1
syllab,8.8.8.8.9.9,8.8.8.8.9.9,1,1
syllab,8.6.8.8.8.6,8.6.8.8.8.6,1,1
syllab,6.6.6.6.6.6,6.6.6.6.6.6,1,1
syllab,8.8.10.10.10.8,8.8.10.10.10.8,1,1
syllab,10.6.4.6.10.12,10.6.4.6.10.12,1,1
syllab,8.10.8.10,8.10.8.10,1,1
syllab,10.10,10.10,1,1
syllab,8.8.8.8.8.8.8.8.8.8.8.8.8.8.10.12,8.8.8.8.8.8.8.8.8.8.8.8.8.8.10.12,1,1
syllab,12.12.12.12.9.9,12.12.12.12.9.9,1,1
syllab,6.6.10.6.6.10,6.6.10.6.6.10,1,1
syllab,6.8.8.6,6.8.8.6,1,1
syllab,11.11.8.11.11.8,11.11.8.11.11.8,1,1
syllab,8.8.6.8.8.8.6,8.8.6.8.8.8.6,1,1
syllab,8.8.8.8.8.8.10.12,8.8.8.8.8.8.10.12,1,1
syllab,12.12.12.12.12.12.12,12.12.12.12.12.12.12,1,1
syllab,8.8.8.8.8.8.10.10,8.8.8.8.8.8.10.10,1,1
syllab,6.6.8.8.8.8.8.4,6.6.8.8.8.8.8.4,1,1
syllab,6.6.6.4.6.6.6.4,6.6.6.4.6.6.6.4,1,1
syllab,10.10.8.8.8.8.10.10,10.10.8.8.8.8.10.10,1,1
syllab,8.8.7.7.7.7,8.8.7.7.7.7,1,1
syllab,8.8.8.8.8.8.10,8.8.8.8.8.8.10,1,1
syllab,6.6.8.8.6,6.6.8.8.6,1,1
syllab,10.12,10.12,1,1
syllab,8.8.8.8.8.10.10.10.10.12,8.8.8.8.8.10.10.10.10.12,1,1
syllab,12.11.12.11.12.11.12.11,12.11.12.11.12.11.12.11,1,1
syllab,11.9.11.9,11.9.11.9,1,1
syllab,8.7.8.7.6.6.8.7,8.7.8.7.6.6.8.7,1,1
syllab,8.8.8.6.8.4,8.8.8.6.8.4,1,1
syllab,7.7.7.7.7.7.7,7.7.7.7.7.7.7,1,1
syllab,8.8.8,8.8.8,1,1
syllab,8.8,8.8,1,1
syllab,8.10.8.10.12,8.10.8.10.12,1,1
syllab,10.10.8.8.8.8.10.12,10.10.8.8.8.8.10.12,1,1
syllab,12.12.12.9.12.12.12.9,12.12.12.9.12.12.12.9,1,1
syllab,8.10.8.10.8.8.10.10,8.10.8.10.8.8.10.10,1,1
syllab,8.6.8.6.8.6.8.6.8.6.8.6,8.6.8.6.8.6.8.6.8.6.8.6,1,1
