poem_id,aut_id,foottype,footnums,stanza,spos,syllab,form,met,rhyme,nlines
n22cs-w0670,pers00290,iamb,pentameter,couplet,pair,10,heroiccouplet,-+|-+|-+|-+|-+/,aa,28
o5153-w0350,pers00119,iamb,tetrameter,couplet,pair,8,epistle,-+|-+|-+|-+/,aa,196
o5156-w0170,pers00035,iamb,tetrameter,couplet,pair,8,,-+|-+|-+|-+/,aa,73
o5154-w0570,pers00108,iamb,tetrameter,couplet,pair,8,fable,-+|-+|-+|-+/,aa,67
tpc26-w0180,pers00353,iamb,tetrameter|trimeter,quatrain,intermittent,8.6.8.6,,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,xaxa,16
o4784-w0690,pers00268,iamb,pentameter,couplet,pair,10,heroiccouplet,-+|-+|-+|-+|-+/,aa,8
o4986-w0260,pers00039,iamb,tetrameter,couplet,pair,8,ode|dialogue|ossian|prophecy,-+|-+|-+|-+/,aa,94
o5125-w0180,pers00154,iamb,pentameter,couplet,pair,10,heroiccouplet|essay,-+|-+|-+|-+|-+/,aa,102
o5156-w0980,pers00133,iamb,pentameter,quatrain,pair,10.10.10.10,epigram,-+|-+|-+|-+|-+/         -+|-+|-+|-+|-+/         -+|-+|-+|-+|-+/         -+|-+|-+|-+|-+/,aabb,8
o5089-w0310,pers00099,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,ballad,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,56
bse96-w0110,pers00282,iamb,pentameter,,,10,sonnet,-+|-+|-+|-+|-+/,abbaabbacdcdcd,14
o4602-w0010,pers00150;pers00151,iamb,tetrameter,sestet,,8,dedication|address,-+|-+|-+|-+/,ababcc,84
oau90-w0140,pers00350,iamb,tetrameter,sestet,tail,8.8.8.8.8.8,occasional,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,aabccb,126
pye85-w0060,pers00256,iamb,pentameter,,,10,blankverse|fragment,-+|-+|-+|-+|-+/,,77
prc90-w0190,pers00328,iamb,pentameter,quatrain,intermittent,10.10.10.10,occasional,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/,xaxa,20
o5089-w0780,pers00166,iamb,tetrameter,couplet,pair,8,meditation,-+|-+|-+|-+/,aa,42
o4784-w0200,pers00268,iamb,tetrameter,triplet,continuous,8,fable,-+|-+|-+|-+/,aaa,77
o5125-w0510,pers00154,iamb,pentameter,couplet,pair,10,heroiccouplet|narrative,-+|-+|-+|-+|-+/,aa,496
o4984-w0660,pers00226,iamb,tetrameter|trimeter,sestet,tail,8.8.6.8.8.6,,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,aabccb,60
bed98-w0810,pers00340,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,hymn,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,24
pjo50-w0440,pers00273,iamb,tetrameter,sestet,pair,8.8.8.8.8.8,occasional,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,aabbcc,6
