Rhyme word,End freq,Full freq,Body freq,%DIFF,Rhyme frequency ratio
sphere,107,159,52,1265.53,0.672956
swell,107,311,204,248.076,0.344051
case,107,193,86,725.67,0.554404
disguise,107,146,39,1720.707,0.732877
dress,106,285,179,292.983,0.37193
approve,106,156,50,1306.879,0.679487
ends,106,200,94,648.34,0.53
room,106,212,106,563.622,0.5
groan,105,174,69,909.86,0.603448
aspire,105,129,24,2803.347,0.813953
blast,105,274,169,312.31,0.383212
unfold,105,138,33,2011.525,0.76087
gate,105,161,56,1144.292,0.652174
chains,104,246,142,386.033,0.422764
bleed,104,139,35,1871.906,0.748201
loved,104,816,712,-3.066,0.127451
content,103,357,254,169.107,0.288515
resigned,103,177,74,823.69,0.581921
while,103,4828,4725,-85.534,0.021334
begun,103,129,26,2528.965,0.79845
inclined,102,132,30,2156.316,0.772727
rhyme,102,151,49,1281.418,0.675497
smiles,102,585,483,40.144,0.174359
note,102,231,129,424.725,0.441558
shades,102,580,478,41.61,0.175862
forgot,102,216,114,493.767,0.472222
waves,102,552,450,50.421,0.184783
haste,101,423,322,108.155,0.238771
star,101,238,137,389.24,0.42437
beat,101,239,138,385.695,0.422594
beams,101,418,317,111.438,0.241627
applause,101,158,57,1075.892,0.639241
inspired,100,245,145,357.671,0.408163
can,100,4473,4373,-84.825,0.022356
belong,100,108,8,8195.278,0.925926
combined,100,112,12,5430.185,0.892857
goes,100,218,118,462.392,0.458716
fool,100,274,174,281.392,0.364964
slow,100,463,363,82.816,0.215983
urn,99,154,55,1094.52,0.642857
rejoice,99,153,54,1116.641,0.647059
stain,99,147,48,1268.721,0.673469
forlorn,99,164,65,910.748,0.603659
strove,99,226,127,417.312,0.438053
invade,98,136,38,1611.447,0.720588
saw,98,805,707,-8.013,0.121739
delay,98,124,26,2401.345,0.790323
ring,98,156,58,1021.293,0.628205
wild,98,894,796,-18.298,0.10962
brings,98,257,159,309.025,0.381323
proclaim,97,152,55,1070.388,0.638158
remains,96,217,121,426.51,0.442396
blue,96,293,197,223.39,0.327645
aside,96,129,33,1830.537,0.744186
shower,96,143,47,1255.484,0.671329
wall,96,146,50,1174.155,0.657534
rule,95,350,255,147.232,0.271429
beguile,95,111,16,3840.257,0.855856
dance,95,302,207,204.561,0.31457
fit,95,298,203,210.562,0.318792
appeared,95,203,108,483.742,0.46798
cure,95,195,100,530.441,0.487179
pen,95,246,151,317.511,0.386179
relate,95,118,23,2641.048,0.805085
vein,95,117,22,2765.641,0.811966
express,95,140,45,1300.98,0.678571
bands,95,194,99,536.809,0.489691
board,95,158,63,900.7,0.601266
pair,94,217,123,407.158,0.43318
renown,94,137,43,1350.709,0.686131
awe,94,213,119,424.206,0.441315
thing,94,417,323,93.128,0.22542
mead,94,151,57,994.395,0.622517
played,94,172,78,699.75,0.546512
grey,94,218,124,403.068,0.431193
profound,94,116,22,2735.477,0.810345
dispense,94,110,16,3798.781,0.854545
placed,94,286,192,224.898,0.328671
commands,93,182,89,593.448,0.510989
chair,93,122,29,2028.168,0.762295
succeed,93,129,36,1614.357,0.72093
pole,93,171,78,691.242,0.54386
conveyed,93,121,28,2104.174,0.768595
string,93,131,38,1524.128,0.709924
fade,93,171,78,691.242,0.54386
steel,92,167,75,714.043,0.550898
pale,92,706,614,-0.565,0.130312
speed,92,233,141,333.002,0.39485
arts,92,576,484,26.143,0.159722
pace,92,139,47,1199.005,0.661871
moan,92,111,19,3113.329,0.828829
farewell,92,329,237,157.609,0.279635
draw,92,283,191,219.651,0.325088
fired,91,189,98,516.221,0.481481
desires,91,171,80,654.87,0.532164
inspires,91,145,54,1018.326,0.627586
crew,91,131,40,1409.741,0.694656
cold,91,745,654,-7.661,0.122148
convey,91,110,19,3078.401,0.827273
defend,91,125,34,1676.165,0.728
break,90,335,245,143.78,0.268657
deny,90,131,41,1356.732,0.687023
they,90,6690,6600,-90.951,0.013453
excel,90,105,15,3881.733,0.857143
bestows,90,109,19,3043.474,0.825688
among,90,382,292,104.541,0.235602
then,90,4668,4578,-86.954,0.01928
sings,90,201,111,438.072,0.447761
degree,90,106,16,3632.875,0.849057
leave,90,774,684,-12.681,0.116279
might,89,1191,1102,-46.404,0.074727
refuse,89,157,68,768.564,0.566879
lawn,89,138,49,1105.355,0.644928
fed,88,173,85,587.044,0.508671
swains,88,270,182,220.872,0.325926
sage,88,309,221,164.248,0.28479
rain,88,158,70,734.268,0.556962
hearts,88,500,412,41.745,0.176
most,88,989,901,-35.185,0.088979
afford,88,130,42,1290.447,0.676923
maintain,87,120,33,1649.55,0.725
walls,87,284,197,193.072,0.306338
complete,87,151,64,802.111,0.576159
flown,87,104,17,3296.184,0.836538
feed,87,203,116,397.717,0.428571
ran,87,175,88,556.081,0.497143
is,87,8057,7970,-92.756,0.010798
burns,87,161,74,680.205,0.540373
bread,87,150,63,816.431,0.58
car,86,130,44,1197.08,0.661538
times,86,373,287,98.855,0.230563
sail,86,149,63,805.897,0.577181
array,86,103,17,3257.148,0.834951
hall,86,150,64,791.742,0.573333
sent,85,332,247,128.372,0.256024
seem,85,427,342,64.935,0.199063
prime,85,143,58,872.55,0.594406
rules,85,309,224,151.821,0.275081
space,85,169,84,571.523,0.502959
sport,84,235,151,269.167,0.357447
replied,84,179,95,486.782,0.469274
spleen,84,171,87,540.739,0.491228
lands,84,212,128,335.502,0.396226
resound,84,123,39,1329.34,0.682927
renew,83,118,35,1473.733,0.70339
pray,83,226,143,285.179,0.367257
blows,83,133,50,1001.613,0.62406
depart,83,101,18,2960.036,0.821782
rehearse,83,92,9,6020.072,0.902174
grows,83,198,115,378.962,0.419192
understood,83,98,15,3572.043,0.846939
none,83,662,579,-4.869,0.125378
crime,82,173,91,497.989,0.473988
extend,82,143,61,792.082,0.573427
white,82,370,288,88.948,0.221622
dreams,82,295,213,155.479,0.277966
shield,82,200,118,361.161,0.41
jest,82,138,56,871.733,0.594203
lore,81,115,34,1480.982,0.704348
obtain,81,115,34,1480.982,0.704348
weight,81,213,132,307.223,0.380282
owe,81,146,65,726.975,0.554795
reply,81,108,27,1890.867,0.75
torn,81,175,94,471.845,0.462857
bears,81,252,171,214.347,0.321429
spear,81,133,52,933.719,0.609023
vice,81,419,338,59.034,0.193317
teach,81,470,389,38.184,0.17234
ball,81,135,54,895.433,0.6
increase,81,172,91,490.697,0.47093
vow,81,152,71,657.09,0.532895
betray,80,118,38,1297.099,0.677966
